Strategy,Final Value,Return (%),Trades
DMAC,7.8997999694353505,-21.002000305646497,6
RSI Mean Reversion,10.968015286024578,9.680152860245773,91
Combined RSI + DMAC,9.342615759233347,-6.573842407666531,40
Buy & Hold,10.377399022834119,3.7739902283411952,0
