Strategy,Final Value,Return (%),Trades
DMAC,5.404075374425167,-45.95924625574833,4
RSI Mean Reversion,8.459864005168638,-15.401359948313619,12
Combined RSI + DMAC,9.00561803918886,-9.943819608111394,12
Buy & Hold,8.392857206212422,-16.07142793787577,0
