Strategy,Final Value,Return (%),Trades
DMAC,10.0145817371527,0.1458173715269906,2
RSI Mean Reversion,11.701208702818313,17.01208702818313,12
Combined RSI + DMAC,14.212336193693556,42.12336193693555,59
Buy & Hold,16.734487172546753,67.34487172546753,0
