Strategy,Final Value,Return (%),Trades
DMAC,4.297248269103954,-57.02751730896046,6
RSI Mean Reversion,7.558553076456253,-24.414469235437476,4
Combined RSI + DMAC,14.087657903892346,40.87657903892345,44
Buy & Hold,13.027534307552743,30.275343075527438,0
