Strategy,Final Value,Return (%),Trades
DMAC,9.846637870468346,-1.5336212953165451,4
RSI Mean Reversion,20.05432669388977,100.5432669388977,36
Combined RSI + DMAC,10.104841666500013,1.0484166650001292,24
Buy & Hold,32.76453402116337,227.6453402116337,0
